feature,shap_mean_abs,rf_importance
I_R02_Gripper_Pot_min,0.030718730004631347,0.077592090467566
r04_grab_count,0.030433623223842785,0.07032910900561454
I_R03_Gripper_Load_mean,0.027948872110422383,0.10074258963454044
I_R02_Gripper_Pot_std,0.024800068005806874,0.07237284769250862
I_R02_Gripper_Pot_mean,0.024493531136914465,0.07414860696868351
r03_nose_peak,0.022367204324829602,0.044939461141256694
M_R03_UJointAngle_Degree_std,0.022337471265879778,0.022921520720370937
r03_nose_fwhm,0.02197962271191495,0.047947271897941623
r03_nose_impulse,0.021313443691957586,0.0453277298153398
I_R03_Gripper_Load_std,0.02029496556579764,0.07332756709377901
M_R03_UJointAngle_Degree_mean,0.017341060669756846,0.022844600308718398
M_R03_RJointAngle_Degree_mean,0.011292668478384511,0.020723641886577285
r03_nose_rise_slope,0.007823185120137239,0.023065114077736076
M_R03_BJointAngle_Degree_std,0.007324371210684093,0.014039593989476141
I_R03_Gripper_Pot_max,0.006691283925829204,0.027602593315113343
